Original_X,Noisy_X,Original_Y,Noisy_Y,Original_Z,Noisy_Z
-0.865981,-0.902931,6.79132,6.63882,-0.00100848,-0.00103267
-0.860397,-0.861477,6.79096,6.95507,-0.00100776,-0.000999433
-0.854625,-0.821655,6.7908,6.56775,-0.00100738,-0.00105447
-0.849012,-0.887241,6.79085,6.66789,-0.0010074,-0.00105773
-0.843397,-0.824945,6.7911,6.61872,-0.00100778,-0.00101536
-0.837617,-0.839471,6.79158,6.72651,-0.00100864,-0.00101297
-0.832026,-0.83629,6.79224,7.09111,-0.00100948,-0.00105994
-0.826477,-0.825547,6.79311,6.71205,-0.0010091,-0.00101347
-0.820843,-0.783048,6.7942,6.51444,-0.00100947,-0.00103055
-0.815391,-0.840959,6.79547,6.55255,-0.00100857,-0.00102218
-0.809984,-0.784016,6.79694,6.92632,-0.00100779,-0.000993687
-0.804465,-0.809776,6.79865,6.539,-0.00100733,-0.000993164
-0.799164,-0.772653,6.80051,6.50605,-0.0010073,-0.000981179
-0.793926,-0.815601,6.80256,6.5238,-0.00100763,-0.000983125
-0.788604,-0.794579,6.80488,6.77699,-0.00100841,-0.00104051
-0.78352,-0.791655,6.80732,6.58936,-0.00100939,-0.000985452
-0.778536,-0.800334,6.80993,6.7443,-0.0010096,-0.00102728
-0.773541,-0.798956,6.8128,6.64249,-0.00100932,-0.00101471
-0.768786,-0.801745,6.81576,7.0559,-0.00100875,-0.0010459
-0.764136,-0.779889,6.81889,7.04772,-0.00100797,-0.00105452
-0.759461,-0.764194,6.82229,7.01085,-0.00100746,-0.000989328
-0.755041,-0.774878,6.82577,6.97377,-0.00100737,-0.000980334
-0.750742,-0.733489,6.8294,6.91755,-0.00100765,-0.00101276
-0.746448,-0.766584,6.83331,6.70529,-0.00100837,-0.00101765
-0.742419,-0.737328,6.83726,6.7444,-0.0010093,-0.00102387
-0.738538,-0.766064,6.84135,6.54348,-0.0010098,-0.00105274
-0.734723,-0.714205,6.84568,6.80132,-0.00100907,-0.000965623
-0.731178,-0.748356,6.85002,6.77666,-0.00100903,-0.00103931
-0.727785,-0.750843,6.85448,7.18913,-0.00100835,-0.0010557
-0.724454,-0.741077,6.85922,6.89088,-0.00100772,-0.00096365
-0.721386,-0.715103,6.86393,6.6399,-0.0010076,-0.000965856
